(Ax,Ay),(Bx,By),(Cx,Cy),(Dx,Dy)
(109,286,324,65,52,531,420, 375)
(111,225,277,133,404,286,221, 430)
(123,544,371,444,409,584,168, 299)
(135,464,488,461,491,325,209, 129)
(141,260,422,569,226,99,104, 575)
(141,362,375,302,285,431,220, 185)
(141,537,467,316,262,339,50, 346)
(143,290,162,537,721,317,241, 406)
(149,368,732,431,197,399,232, 289)
(151,291,229,134,253,532,351, 294)
(173,411,643,199,17,574,178, 571)
(177,365,116,283,520,457,372, 158)
(178,560,100,555,626,239,310, 273)
(213,520,310,481,526,171,65, 74)
(228,433,143,360,128,403,170, 448)
(230,398,302,394,91,181,272, 576)
(233,559,50,325,365,181,571, 465)
(238,16,245,416,266,125,109, 107)
(239,384,394,420,362,482,217, 536)
(250,416,240,153,681,487,15, 294)
(251,576,266,518,576,419,169, 524)
(255,435,422,408,221,464,140, 331)
(260,320,223,155,538,125,579, 480)
(260,281,420,47,488,327,211, 77)
(276,236,383,101,229,277,232, 231)
(28,466,86,379,219,118,189, 512)
(280,585,307,490,356,324,445, 584)
(284,237,262,134,503,544,541, 285)
(294,134,340,201,238,567,354, 142)
(296,517,399,498,579,487,287, 219)
(296,553,557,175,63,400,419, 360)
(315,528,743,272,240,19,113, 298)
(318,410,379,288,141,204,749, 557)
(346,26,638,98,345,82,106, 42)
(355,463,116,236,391,412,202, 386)
(363,379,334,567,258,353,381, 89)
(37,412,453,372,509,534,235, 289)
(378,309,215,195,464,500,167, 439)
(382,214,712,408,661,137,513, 147)
(384,383,446,292,483,493,35, 86)
(427,53,250,391,756,94,569, 248)
(428,492,426,310,552,414,42, 411)
(429,125,170,105,305,170,425, 304)
(435,525,569,281,303,95,99, 394)
(440,396,157,552,562,319,482, 329)
(440,185,186,359,289,23,523, 573)
(45,248,437,98,565,454,249, 490)
(450,94,423,52,564,413,262, 339)
(451,147,87,519,294,540,628, 445)
(460,560,220,522,514,221,380, 374)
(461,483,510,455,471,425,249, 425)
(479,443,329,378,270,485,581, 18)
(486,189,617,50,152,443,296, 284)
(488,556,684,398,471,555,627, 529)
(489,99,652,507,771,77,630, 97)
(494,61,285,460,454,128,678, 214)
(50,242,276,383,138,199,104, 404)
(508,282,189,451,518,463,225, 130)
(510,346,126,284,692,84,423, 93)
(518,314,50,205,653,229,470, 92)
(518,579,477,78,545,316,104, 405)
(519,312,732,544,231,216,706, 353)
(528,137,774,226,418,317,331, 140)
(530,105,552,389,182,200,335, 75)
(532,391,467,477,775,48,238, 233)
(532,334,548,416,701,141,75, 464)
(535,18,346,559,418,242,284, 29)
(536,69,622,55,476,29,192, 525)
(549,514,708,340,64,166,212, 473)
(559,110,381,44,404,448,701, 378)
(561,442,600,95,700,561,772, 336)
(564,475,266,38,538,452,492, 537)
(57,512,482,358,718,551,216, 288)
(571,98,542,280,403,54,575, 191)
(572,569,694,243,340,165,634, 407)
(579,388,516,440,654,161,615, 495)
(583,258,463,176,669,333,373, 584)
(655,56,729,452,582,333,16, 35)
(659,579,118,424,785,522,726, 560)
(666,134,562,87,587,471,627, 82)
(68,113,162,245,59,538,326, 28)
(70,519,577,26,146,431,235, 585)
(702,336,418,584,663,379,481, 166)
(709,135,196,535,696,134,680, 454)
(746,578,782,124,43,213,333, 515)
(762,209,406,168,639,239,749, 418)
(158, 277, 253, 464, 382, 63, 233, 133)
