(Ax,Ay),(Bx,By),(Cx,Cy),(Dx,Dy)
(121,570,162,101,784,191,421, 427)
(124,439,160,397,309,492,85, 507)
(141,182,550,505,715,339,23, 192)
(143,431,526,506,210,57,321, 301)
(157,503,509,23,750,276,259, 518)
(179,385,365,32,480,539,53, 365)
(209,21,127,441,410,368,177, 152)
(24,328,237,416,191,570,68, 393)
(269,444,718,352,71,44,237, 508)
(288,526,22,191,488,581,383, 328)
(353,85,748,221,483,408,541, 178)
(381,292,552,125,315,328,674, 470)
(404,482,292,538,251,218,639, 337)
(412,585,49,95,146,498,517, 181)
(415,448,251,48,722,491,349, 305)
(435,171,248,397,580,39,591, 415)
(462,409,169,377,645,30,355, 278)
(476,320,594,21,124,144,502, 432)
(557,99,684,358,264,377,493, 70)
(557,295,329,179,351,192,521, 319)
(566,554,698,516,614,160,365, 480)
(569,18,359,136,162,356,724, 529)
(591,345,621,583,719,234,696, 369)
(595,237,771,502,242,91,643, 314)
(614,138,562,564,224,467,414, 274)
(626,501,330,513,258,294,750, 446)
(638,203,713,442,185,334,555, 186)
(648,132,237,369,335,431,375, 131)
(659,422,635,550,291,530,654, 292)
(681,496,57,365,664,442,595, 496)
(682,149,94,75,251,44,666, 353)
(699,140,492,24,265,445,514, 228)
(81,574,341,157,269,117,238, 424)
(86,464,557,472,363,151,30, 426)
(95,190,682,311,184,401,368, 71)
