(Ax,Ay),(Bx,By),(Cx,Cy),(Dx,Dy)
(607.6, 300.1),(780.0, 300.0),(700.0, 300.0),(506.1, 300.1)
(604.9751195389147, 307.2543968240127),(774.8715601321609, 313.1873112634379),(699.8172481057287, 310.4698490107503),(502.0378643559478, 303.65974866365514)
(599.6128100519649, 314.05129474882506),(769.1986985961349, 325.90989528532634),(699.2692150779473, 320.9269421232376),(495.86614882494314, 306.79662147943606)
(599.0043790736547, 321.00569265353073),(765.5867965478404, 338.5142102508627),(693.4839591336406, 330.9358966639578),(491.5960143738812, 309.71661862062416)
(593.2022734046063, 327.23875468721275),(759.0721749188193, 350.55024909802376),(687.2777399350555, 340.46019927841905),(485.26305391177505, 312.0688866825657)
(589.6754924548502, 333.5272742008841),(752.1687717018644, 362.17922351592756),(685.6942483735403, 350.4579715234098),(480.8542357470011, 314.3391505686883)
(585.948044139423, 339.6032212553743),(744.8970292586664, 373.3888710132602),(681.3174352109693, 359.8746111101059),(474.43921765576926, 315.9012885021497)
(579.6047093610593, 344.8555506859385),(737.2777648809088, 384.1678587208845),(676.634281988659, 369.0477402459053),(468.0207008393198, 317.0345326919768)
(573.0271052688975, 349.61472404705984),(726.8289766190285, 393.71670097777974),(671.6564291025751, 377.9675530183023),(461.62074854005243, 317.740790772288)
(571.1901729331277, 355.62305898749054),(718.7039329588763, 403.6206931156074),(666.3958245626429, 386.6247584249853),(455.26127794511893, 318.022985673747)
(569.1446717414635, 361.56362579862036),(710.1985648593497, 412.9666472974707),(660.8647022680896, 395.0105897728731),(450.8434015224391, 318.5690877395861)
(562.3571745491877, 365.6561538477846),(701.4347527342059, 421.8471428601714),(655.0755600058665, 403.1168131893759),(444.6048250192058, 318.0811164839638)
(555.4027277992421, 369.2452293228861),(690.1506828015258, 429.2388841765666),(646.7572735635023, 409.9188936304661),(438.46890922098925, 317.18293900918366)
(550.6480027551106, 373.5271670871705),(678.7261543527418, 435.995055504614),(642.7743925007751, 418.4602096330509),(432.45658566677, 315.8813612844068)
(545.786352821723, 377.562807859672),(669.3990158219729, 443.2888266496967),(634.0811121076157, 424.5099641382611),(426.58842778576786, 314.1841468835768)
(538.6640646055102, 380.1),(659.8076211353316, 450.0),(625.1666049839541, 430.0),(420.88460969082655, 312.1)
(535.7876953850282, 384.88708227731286),(646.0339478853635, 453.7765866276294),(620.4925050006707, 437.7790087006333),(417.06096192312856, 310.69838528466414)
(528.6008237460314, 386.7749000379658),(636.3757081781869, 459.4699774891629),(615.5497688643109, 445.3901549023942),(413.3646011608807, 309.047086455532)
(523.4750916421796, 389.7372509746022),(622.5796734531107, 461.74094438043016),(610.3444185374864, 452.82416559604303),(411.4262379212493, 308.32899353209467)
(518.3016130410083, 392.4492212988488),(612.8629034738149, 466.3285983379278),(601.0427421697141, 457.0936762080429),(407.98010753606724, 306.2566147532566)
(511.1764442522519, 393.3042034045482),(599.1715552109342, 467.1247785185002),(591.6111107797444, 460.79690242163485),(406.22835554495185, 305.2423008774923)
(504.0402755668352, 393.67828489024015),(589.6019304967356, 470.72830462150887),(585.8862063693485, 467.3826515897146),(406.0451586038192, 305.45304485087087)
(500.7075720474112, 397.2521718642596),(576.3382510829696, 470.2913007624544),(576.3382510829696, 470.2913007624544),(404.41603880203195, 304.267950222754)
(497.2521718642596, 400.70757204741113),(566.8180089101593, 472.74155208127627),(570.2913007624543, 476.3382510829695),(404.267950222754, 304.41603880203195)
(493.67828489024015, 404.0402755668352),(554.0000394625374, 471.02330985980075),(560.691345526126, 478.45475811457464),(402.7765224254355, 303.0725793019096)
(486.87632730768286, 403.5159998210621),(544.7272121794713, 472.45999970177),(554.3690263247695, 483.9506663485547),(402.67115043874617, 303.1641777724759)
(480.13599179233563, 402.5413979688739),(535.4455245716448, 473.36236579347883),(544.7804467015296, 485.28252709757965),(402.56264590130263, 303.25204301442693)
(476.51208279802154, 405.2722092687432),(523.5349029814193, 469.993568818739),(538.2295342887312, 490.2189936781127),(402.45114100916993, 303.3360679774998)
(469.9991129338434, 403.7296965693802),(514.7345452115031, 470.0527023737836),(528.7143677982718, 490.7786416876596),(402.336771613883, 303.4161502902202)
(466.33990802915065, 406.10601201955325),(503.43425652547495, 465.4693787505031),(521.9814307736372, 495.151062115978),(402.2196770569328, 303.49219238462575)
(460.1, 404.02304845413266),(495.1, 464.64482671904335),(512.6, 494.95571585149867),(404.1, 307.02820323027555)
(456.4365875343069, 406.05371114307127),(486.95223911538983, 463.4453046789015),(505.7311016268255, 498.76320839325854),(400.1, 300.1)
(450.51268188074397, 403.46131532440427),(476.8149506880886, 457.38895810235425),(496.44165229359703, 497.73469018581676),(401.41511344036724, 302.7963821388975)
(446.874713953717, 405.1577276288991),(469.2452293228861, 455.40272779924214),(489.48206147667605, 500.9800006813722),(401.3202099292274, 302.8406363729278)
(443.17975824282985, 406.72614327518056),(461.9100879136255, 453.08533600351996),(482.41345055150066, 503.98044800469324),(401.22381978024777, 302.8815515637004)
(437.7222157658236, 403.4661882864499),(454.823222932107, 450.4508193257454),(475.24443153164714, 506.73237657289985),(403.8622215765824, 310.436618828645)
(434.09186938124424, 404.7162167924669),(446.4525491562421, 442.75847744427307),(466.5386537906137, 504.5771510034581),(401.02705098312487, 302.95316954888546)
(430.42010913986996, 405.8387865532151),(440.06741659346494, 439.4829459110563),(458.6729381111124, 504.3681103868928),(400.92691206745104, 302.98378508781497)
(425.50179903796516, 401.9810512589796),(433.86906538395345, 435.8414016786395),(450.90359807593023, 503.8621025179593),(400.825765686799, 303.010887178828)
(421.9307275358648, 402.8054980770496),(428.1680782603976, 432.14992609906375),(443.76145507172953, 505.5109961540992),(400.7237350724533, 303.03444280220145)
(417.364817766693, 398.4807753012208),(422.674263096701, 428.1250078915871),(436.13199686588814, 504.4476087500332),(400.96824088833466, 305.02403876506105)
(413.91731009600653, 399.02680687415705),(417.49663762000824, 423.88350859269633),(428.6304856968134, 503.10495409202196),(400.79586550480036, 305.05134034370786)
(410.4528463267653, 399.45218953682735),(412.64341559211846, 419.4426274441928),(421.528334969869, 503.9769885504961),(404.80378084704444, 344.8534852915723)
(406.9756473744125, 399.7564050259824),(408.1219944805744, 414.8198657798798),(414.4000771175457, 504.600630303264),(400.51853884246475, 306.085384301559)
(403.4899496702501, 399.93908270190957),(403.93894463727514, 410.03299097210055),(407.0798993405002, 499.97816540381916),(400.2744974835125, 305.09695413509553)
(400.01, 400.0),(400.1, 410.1),(400.1, 500.1),(400.1, 305.1)
(396.5100503297499, 399.93908270190957),(396.43555284623744, 405.0360368370051),(393.1201006594998, 499.97816540381916),(399.9953015098925, 303.0981724810573)
(393.0243526255875, 399.7564050259824),(393.0243526255875, 399.7564050259824),(386.32309643553526, 497.1188999263153),(397.0307151552585, 343.9928182114323)
(390.1697959895729, 394.57958005998603),(390.1697959895729, 394.57958005998603),(379.71694966280756, 494.0317695968133),(399.5773576836618, 305.07260947684136)
(386.87855540879383, 394.1754665304492),(386.87855540879383, 394.1754665304492),(372.9612453127873, 493.2022734046063),(399.4041344951997, 305.05134034370786)
(383.60342312164164, 393.65673653615977),(384.4716640099763, 388.73269777109874),(366.2386053549486, 492.13751183738054),(392.8067765379889, 341.46192562651277)
(380.3483893723129, 393.0240220697116),(381.38794782640167, 388.1332840660425),(359.557220290537, 490.83878214309215),(399.0604415459112, 304.99073800366904)
(377.1174199180316, 392.2780939962197),(379.5366388740283, 382.5751367334597),(353.530035097064, 486.8819273081293),(399.37423431320104, 303.010887178828)
(373.9144511973851, 391.4198611141403),(378.0490115346401, 377.00093567506553),(347.7289023947702, 482.7397222282806),(399.273087932549, 302.98378508781497)
(371.51592802031735, 388.0727277573018),(375.37864045000424, 376.1845213036123),(341.38677106876, 480.8007380960792),(399.1729490168752, 302.9531695488855)
(368.4631367423757, 387.02156742269653),(374.4484892505749, 370.5769465589431),(335.11617276812296, 478.64159794932266),(399.073939570023, 302.91907786235777)
(365.4488901090282, 385.8645065474278),(372.0045054938066, 369.6387890925091),(328.9247472509767, 476.26493236768965),(383.9919164831158, 339.9689057463719)
(362.4768605154885, 384.6029548319406),(369.59475176931505, 368.6159093231951),(322.82003781559797, 473.67363695209417),(398.87979007077263, 302.8406363729278)
(360.64659678898306, 380.9914641669251),(369.41401972476456, 363.01558324094174),(316.80948211007535, 470.8708687968417),(398.7848865596328, 302.7963821388975)
(357.84755934926983, 379.56528335730343),(367.2369906049877, 361.9063315001249),(310.90040307068074, 467.8600426431961),(398.69158531164237, 302.74884277857683)
(353.85, 380.2073498500606),(366.35, 358.55671475544966),(306.3500000000001, 462.4797632095823),(398.6, 302.69807621135334)
