(Ax,Ay),(Bx,By),(Cx,Cy),(Dx,Dy)
(506.1, 300.1),(506.1, 300.1),(739.1, 300.1),,
(502.0378643559478, 303.65974866365514),(502.0378643559478, 303.65974866365514),(734.895927051397, 311.79133139533786),,
(495.86614882494314, 306.79662147943606),(495.86614882494314, 306.79662147943606),(729.296136585742, 323.1196363355614),,
(491.5960143738812, 309.71661862062416),(491.5960143738812, 309.71661862062416),(722.3250940993206, 333.96722209871973),,
(485.26305391177505, 312.0688866825657),(485.26305391177505, 312.0688866825657),(716.9857819973025, 344.63539230722097),,
(480.8542357470011, 314.3391505686883),(480.8542357470011, 314.3391505686883),(706.3752111867967, 354.10458325441533),,
(474.43921765576926, 315.9012885021497),(474.43921765576926, 315.9012885021497),(698.4350182238107, 363.51306569941664),,
(468.0207008393198, 317.0345326919768),(468.0207008393198, 317.0345326919768),(692.159013609075, 372.9184905755),,
(461.62074854005243, 317.740790772288),(461.62074854005243, 317.740790772288),(648.1055175520863, 371.2144378007858),,
(455.26127794511893, 318.022985673747),(455.26127794511893, 318.022985673747),(637.8641290737884, 377.3542485937369),,
(450.8434015224391, 318.5690877395861),(450.8434015224391, 318.5690877395861),(627.5056142301898, 382.8688746848119),,
(444.6048250192058, 318.0811164839638),(444.6048250192058, 318.0811164839638),(617.0610219686283, 387.7579428593234),,
(438.46890922098925, 317.18293900918366),(438.46890922098925, 317.18293900918366),(606.5612734272278, 392.02248133513086),,
(432.45658566677, 315.8813612844068),(432.45658566677, 315.8813612844068),(630.1912758525867, 412.32301357800384),,
(426.58842778576786, 314.1841468835768),(426.58842778576786, 314.1841468835768),(585.5189945003747, 398.6890281850371),,
(420.88460969082655, 312.1),(420.88460969082655, 312.1),(573.3050807568878, 400.1),,
(417.06096192312856, 310.69838528466414),(417.06096192312856, 310.69838528466414),(561.2291382697209, 400.7846602043089),,
(413.3646011608807, 309.047086455532),(413.3646011608807, 309.047086455532),(549.3267630599075, 400.7547226247345),,
(411.4262379212493, 308.32899353209467),(411.4262379212493, 308.32899353209467),(537.6328890437411, 400.02349288972044),,
(407.98010753606724, 306.2566147532566),(407.98010753606724, 306.2566147532566),(526.1817205770756, 398.60583605210536),,
(406.22835554495185, 305.2423008774923),(406.22835554495185, 305.2423008774923),(515.0066664678467, 396.5181414529809),,
(406.0451586038192, 305.45304485087087),(406.0451586038192, 305.45304485087087),(505.62656521779, 395.1165461029579),,
(404.41603880203195, 304.267950222754),(404.41603880203195, 304.267950222754),(492.17549444334736, 389.01627141875167),,
(404.267950222754, 304.41603880203195),(404.267950222754, 304.41603880203195),(480.6803709732437, 383.54341683928357),,
(402.7765224254355, 303.0725793019096),(402.7765224254355, 303.0725793019096),(471.027844274039, 378.8733515006038),,
(402.67115043874617, 303.1641777724759),(402.67115043874617, 303.1641777724759),(471.4494246752059, 385.13093318620656),,
(402.56264590130263, 303.25204301442693),(402.56264590130263, 303.25204301442693),(450.584240976704, 364.71688179575125),,
(402.45114100916993, 303.3360679774998),(402.45114100916993, 303.3360679774998),(442.4205381650581, 358.34922359499626),,
(402.336771613883, 303.4161502902202),(402.336771613883, 303.4161502902202),(445.3946251811305, 367.2520433769584),,
(402.2196770569328, 303.49219238462575),(402.2196770569328, 303.49219238462575),(425.53612468319386, 340.80630861550844),,
(404.1, 307.02820323027555),(401.6, 302.69807621135334),(419.1, 333.0089653438087),,
(400.1, 300.1),(401.5084146883577, 302.74884277857683),(414.1841468835768, 326.5884277857678),,
(401.41511344036724, 302.7963821388975),(401.41511344036724, 302.7963821388975),(409.74416522935974, 319.8734690185817),,
(401.3202099292274, 302.8406363729278),(401.3202099292274, 302.8406363729278),(406.6077862892128, 314.71672732228166),,
(401.22381978024777, 302.8815515637004),(401.22381978024777, 302.8815515637004),(404.595279120991, 311.22620625480147),,
(403.8622215765824, 310.436618828645),(401.12606042997703, 302.91907786235777),(403.5202014332567, 309.49692620785913),,
(401.02705098312487, 302.95316954888546),(401.02705098312487, 302.95316954888546),(402.5721359549996, 307.70845213036125),,
(400.92691206745104, 302.98378508781497),(400.92691206745104, 302.98378508781497),(417.189516060654, 359.69822514817577),,
(400.825765686799, 303.010887178828),(400.825765686799, 303.010887178828),(412.67993857118273, 350.55537776635185),,
(400.7237350724533, 303.03444280220145),(400.7237350724533, 303.03444280220145),(410.495584540888, 349.0073800366903),,
(400.96824088833466, 305.02403876506105),(400.6209445330008, 303.05442325903664),(407.21957528434416, 340.47711787350056),,
(400.79586550480036, 305.05134034370786),(400.1, 300.1),(405.5277509374426, 338.72045468092125),,
(404.80378084704444, 344.8534852915723),(400.1, 300.1),(403.13132543476195, 328.94113496567996),,
(400.51853884246475, 306.085384301559),(400.1, 300.1),(401.6346424223708, 322.0464091057162),,
(400.2744974835125, 305.09695413509553),(400.1, 300.1),(400.867788927455, 322.0865981944201),,
(400.1, 305.1),(400.1, 300.1),(400.1, 304.1),,
(399.9953015098925, 303.0981724810573),(400.1, 300.1),(400.1, 300.1),,
(397.0307151552585, 343.9928182114323),(400.1, 300.1),(400.1, 300.1),,
(399.5773576836618, 305.07260947684136),(400.1, 300.1),(400.1, 300.1),,
(399.4041344951997, 305.05134034370786),(400.1, 300.1),(400.1, 300.1),,
(392.8067765379889, 341.46192562651277),(400.1, 300.1),(400.1, 300.1),,
(399.0604415459112, 304.99073800366904),(400.1, 300.1),(400.1, 300.1),,
(399.37423431320104, 303.010887178828),(400.1, 300.1),(396.471171566005, 314.65443589413997),,
(399.273087932549, 302.98378508781497),(400.1, 300.1),(400.1, 300.1),,
(399.1729490168752, 302.9531695488855),(400.1, 300.1),(400.1, 300.1),,
(399.073939570023, 302.91907786235777),(400.1, 300.1),(400.1, 300.1),,
(383.9919164831158, 339.9689057463719),(400.1, 300.1),(400.1, 300.1),,
(398.87979007077263, 302.8406363729278),(400.1, 300.1),(395.21916028309045, 311.06254549171126),,
(398.7848865596328, 302.7963821388975),(400.1, 300.1),(400.1, 300.1),,
(398.69158531164237, 302.74884277857683),(400.1, 300.1),(400.1, 300.1),,
(398.6, 302.69807621135334),(400.1, 300.1),(400.1, 300.1),,
(398.5102422073004, 302.6441442884693),(400.1, 300.1),(400.1, 300.1),,
(398.42242128958776, 302.58711271766515),(400.1, 300.1),(400.1, 300.1),,
(398.3366442431226, 302.52705098312487),(400.1, 300.1),(400.1, 300.1),,
(398.25301557402304, 302.4640322608202),(400.1, 300.1),(400.1, 300.1),,
(398.1716371709404, 302.39813332935694),(400.1, 300.1),(400.1, 300.1),,
(400.1, 300.1),(400.1, 300.1),(400.1, 300.1),,
(400.1, 300.1),(400.1, 300.1),(400.1, 300.1),,
(397.22264079864544, 302.878633481836),(400.1, 300.1),(400.1, 300.1),,
(397.1274206980904, 302.7765224254355),(400.1, 300.1),(400.1, 300.1),,
(397.03582222752414, 302.67115043874617),(400.1, 300.1),(400.1, 300.1),,
(396.9479569855731, 302.56264590130263),(400.1, 300.1),(400.1, 300.1),,
(396.86393202250025, 302.45114100916993),(400.1, 300.1),(400.1, 300.1),,
(391.8096242744496, 305.69192903470747),(400.1, 300.1),(400.1, 300.1),,
(395.01171142306146, 303.2795155853992),(400.1, 300.1),(400.1, 300.1),,
(394.9038475772934, 303.1),(400.1, 300.1),(400.1, 300.1),,
(394.80231444284647, 302.9168293767154),(400.1, 300.1),(400.1, 300.1),,
(394.70723572220504, 302.7302268807345),(400.1, 300.1),(400.1, 300.1),,
(394.6187272541444, 302.5404198584548),(400.1, 300.1),(400.1, 300.1),,
(354.66799112622743, 318.45572307737973),(400.1, 300.1),(400.1, 300.1),,
(394.4618442752846, 302.15212085995404),(400.1, 300.1),(400.1, 300.1),,
(392.4915478696388, 302.5721359549996),(400.1, 300.1),(400.1, 300.1),,
(391.44864473655514, 302.580736202353),(400.1, 300.1),(400.1, 300.1),,
(352.5555094124762, 311.95417288438375),(400.1, 300.1),(400.1, 300.1),,
(394.23111439559716, 301.3474701449066),(400.1, 300.1),(400.1, 300.1),,
(348.8899968433652, 309.1297052386804),(400.1, 300.1),(400.1, 300.1),,
(392.17785545006745, 301.21338480768054),(400.1, 300.1),(400.1, 300.1),,
(391.14930294168556, 301.0407561694089),(400.1, 300.1),(400.1, 300.1),,
(392.1194875979214, 300.65805178995305),(400.1, 300.1),(400.1, 300.1),,
(392.10487338384723, 300.37919597362),(400.1, 300.1),(400.1, 300.1),,
(391.1, 300.1),(400.1, 300.1),(400.1, 300.1),,
(394.10365503788546, 299.89060301978503),(400.1, 300.1),(400.1, 300.1),,
(394.11461569844107, 299.6814611575353),(400.1, 300.1),(400.1, 300.1),,
(396.1219124185269, 299.6818861469294),(400.1, 300.1),(400.1, 300.1),,
(396.13892772503374, 299.54330759615976),(400.1, 300.1),(400.1, 300.1),,
(394.1911534819268, 299.0581109339984),(400.1, 300.1),(400.1, 300.1),,
(396.1874095970648, 299.268353236729),(396.1874095970648, 299.268353236729),(400.1, 300.1),,
(396.21881709489605, 299.1323124176013),(396.21881709489605, 299.1323124176013),(400.1, 300.1),,
(396.25495321624675, 298.99745057673204),(396.25495321624675, 298.99745057673204),(400.1, 300.1),,
(396.2957739348194, 298.86393202250025),(396.2957739348194, 298.86393202250025),(400.1, 300.1),,
(396.3412295168564, 298.73191942669735),(396.3412295168564, 298.73191942669735),(400.1, 300.1),,
(396.39126458173286, 298.60157362633635),(396.39126458173286, 298.60157362633635),(400.1, 300.1),,
(394.6187272541444, 297.65958014154523),(394.6187272541444, 297.65958014154523),(400.1, 300.1),,
(394.70723572220504, 297.46977311926554),(394.70723572220504, 297.46977311926554),(400.1, 300.1),,
(394.80231444284647, 297.28317062328466),(394.80231444284647, 297.28317062328466),(400.1, 300.1),,
(393.1717967697245, 296.1),(393.1717967697245, 296.1),(400.1, 300.1),,
(391.6195190384358, 294.80080735766796),(391.6195190384358, 294.80080735766796),(400.1, 300.1),,
(390.1515491293395, 293.3896851583511),(390.1515491293395, 293.3896851583511),(400.1, 300.1),,
(387.1557280900009, 290.69543596332045),(387.1557280900009, 290.69543596332045),(400.1, 300.1),,
(385.91580643507905, 289.0180934441382),(385.91580643507905, 289.0180934441382),(400.1, 300.1),,
(383.24702225138253, 285.95867258689617),(383.24702225138253, 285.95867258689617),(397.03582222752414, 297.5288495612539),,
(379.29194488663296, 281.364343021952),(379.29194488663296, 281.364343021952),(385.2371034904521, 286.7173878728229),,
(375.64244678848587, 276.4816154043941),(375.64244678848587, 276.4816154043941),(389.30990299492026, 289.68012444311506),,
(372.31366518164015, 271.326407986454),(372.31366518164015, 271.326407986454),(377.8709321453121, 277.08112638916316),,
(369.31999210749257, 265.91533802803986),(369.31999210749257, 265.91533802803986),(381.364343021952, 279.29194488663296),,
