,(402.1, 300.1),0,1,2
,(407.1, 300.1),0,0,7
,(412.1, 300.1),0,0,12
,(417.1, 300.1),0,0,17
,(422.1, 300.1),0,0,22
,(427.1, 300.1),0,0,27
,(432.1, 300.1),0,0,32
,(437.1, 300.1),0,0,37
,(442.1, 300.1),0,0,42
,(447.1, 300.1),0,0,47
,(452.1, 300.1),0,0,52
,(457.1, 300.1),0,0,57
,(462.1, 300.1),0,0,62
,(467.1, 300.1),0,0,67
,(472.1, 300.1),0,0,72
,(477.1, 300.1),0,0,77
,(482.1, 300.1),0,0,82
,(487.1, 300.1),0,0,87
,(492.1, 300.1),0,0,92
,(497.1, 300.1),0,0,97
,(502.1, 300.1),0,0,102
,(507.1, 300.1),0,0,107
,(512.1, 300.1),0,0,112
,(517.1, 300.1),0,0,117
,(522.1, 300.1),0,0,122
,(527.1, 300.1),0,0,127
,(532.1, 300.1),0,0,132
,(537.1, 300.1),0,0,137
,(542.1, 300.1),0,0,142
,(547.1, 300.1),0,0,147
,(552.1, 300.1),0,0,152
,(557.1, 300.1),0,0,157
,(562.1, 300.1),0,0,162
,(567.1, 300.1),0,0,167
,(572.1, 300.1),0,0,172
,(577.1, 300.1),0,0,177
,(582.1, 300.1),0,0,182
,(587.1, 300.1),0,0,187
,(592.1, 300.1),0,0,192
,(597.1, 300.1),0,0,197
,(602.1, 300.1),0,0,202
,(607.1, 300.1),0,0,207
,(612.1, 300.1),0,0,212
,(617.1, 300.1),0,0,217
,(622.1, 300.1),0,0,222
,(627.1, 300.1),0,0,227
,(632.1, 300.1),0,0,232
,(637.1, 300.1),0,0,237
,(642.1, 300.1),0,0,242
,(647.1, 300.1),0,0,247
,(652.1, 300.1),0,0,252
,(657.1, 300.1),0,0,257
,(662.1, 300.1),0,0,262
,(667.1, 300.1),0,0,267
,(672.1, 300.1),0,0,272
,(677.1, 300.1),0,0,277
,(682.1, 300.1),0,0,282
,(687.1, 300.1),0,0,287
,(692.1, 300.1),0,0,292
,(697.1, 300.1),0,0,297
,(702.1, 300.1),0,0,302
,(707.1, 300.1),0,0,307
,(709.1, 300.1),0,1,309
,(711.1, 300.1),0,1,311
,(713.1, 300.1),0,1,313
,(715.1, 300.1),0,1,315
,(717.1, 300.1),0,1,317
,(719.1, 300.1),0,1,319
,(721.1, 300.1),0,1,321
,(723.1, 300.1),0,1,323
,(725.1, 300.1),0,1,325
,(730.1, 300.1),0,0,330
,(735.1, 300.1),0,0,335
,(740.1, 300.1),0,0,340
,(742.1, 300.1),0,1,342
,(744.1, 300.1),0,1,344
,(746.1, 300.1),0,1,346
,(748.1, 300.1),0,1,348
,(750.1, 300.1),0,1,350
,(752.1, 300.1),0,1,352
,(754.1, 300.1),0,1,354
,(756.1, 300.1),0,1,356
,(758.1, 300.1),0,1,358
,(750.1, 300.1),0,1,350
,(402.0987816540382, 300.16979899340504),2,1,2
,(407.0957357891337, 300.3442964769175),2,0,7
,(412.09268992422915, 300.51879396043006),2,0,12
,(417.08964405932466, 300.69329144394254),2,0,17
,(422.0865981944201, 300.867788927455),2,0,22
,(427.0835523295156, 301.04228641096756),2,0,27
,(432.08050646461106, 301.21678389448005),2,0,32
,(437.07746059970657, 301.3912813779926),2,0,37
,(442.0744147348021, 301.56577886150507),2,0,42
,(447.0713688698975, 301.74027634501755),2,0,47
,(452.068323004993, 301.9147738285301),2,0,52
,(457.0652771400885, 302.08927131204257),2,0,57
,(462.062231275184, 302.2637687955551),2,0,62
,(467.05918541027944, 302.4382662790676),2,0,67
,(472.0561395453749, 302.6127637625801),2,0,72
,(477.0530936804704, 302.7872612460926),2,0,77
,(482.0500478155659, 302.9617587296051),2,0,82
,(487.04700195066135, 303.13625621311763),2,0,87
,(492.0439560857568, 303.3107536966301),2,0,92
,(497.0409102208523, 303.4852511801426),2,0,97
,(502.0378643559478, 303.65974866365514),2,0,102
,(507.03481849104327, 303.8342461471676),2,0,107
,(512.0317726261387, 304.00874363068016),2,0,112
,(517.0287267612342, 304.18324111419264),2,0,117
,(522.0256808963297, 304.3577385977051),2,0,122
,(527.0226350314252, 304.53223608121766),2,0,127
,(532.0195891665206, 304.70673356473014),2,0,132
,(537.0165433016161, 304.8812310482427),2,0,137
,(542.0134974367116, 305.05572853175516),2,0,142
,(547.010451571807, 305.23022601526765),2,0,147
,(552.0074057069025, 305.4047234987802),2,0,152
,(557.004359841998, 305.57922098229267),2,0,157
,(562.0013139770936, 305.7537184658052),2,0,162
,(566.9982681121891, 305.9282159493177),2,0,167
,(571.9952222472845, 306.10271343283017),2,0,172
,(576.99217638238, 306.2772109163427),2,0,177
,(581.9891305174755, 306.4517083998552),2,0,182
,(586.9860846525709, 306.62620588336773),2,0,187
,(591.9830387876664, 306.8007033668802),2,0,192
,(596.9799929227619, 306.9752008503927),2,0,197
,(601.9769470578574, 307.14969833390523),2,0,202
,(606.9739011929529, 307.3241958174177),2,0,207
,(611.9708553280483, 307.49869330093026),2,0,212
,(616.9678094631438, 307.67319078444274),2,0,217
,(621.9647635982393, 307.8476882679552),2,0,222
,(626.9617177333347, 308.02218575146776),2,0,227
,(631.9586718684302, 308.19668323498024),2,0,232
,(636.9556260035257, 308.3711807184927),2,0,237
,(641.9525801386212, 308.54567820200526),2,0,242
,(646.9495342737167, 308.72017568551775),2,0,247
,(651.9464884088121, 308.8946731690303),2,0,252
,(656.9434425439076, 309.06917065254277),2,0,257
,(661.9403966790031, 309.24366813605525),2,0,262
,(666.9373508140985, 309.4181656195678),2,0,267
,(671.9343049491941, 309.59266310308027),2,0,272
,(676.9312590842895, 309.7671605865928),2,0,277
,(681.928213219385, 309.9416580701053),2,0,282
,(686.9251673544805, 310.1161555536178),2,0,287
,(691.9221214895759, 310.2906530371303),2,0,292
,(696.9190756246714, 310.4651505206428),2,0,297
,(701.916029759767, 310.63964800415533),2,0,302
,(703.9148114138051, 310.7094469975603),2,1,304
,(705.9135930678434, 310.7792459909653),2,1,306
,(707.9123747218815, 310.8490449843703),2,1,308
,(709.9111563759196, 310.91884397777534),2,1,310
,(711.909938029958, 310.9886429711803),2,1,312
,(713.9087196839961, 311.0584419645853),2,1,314
,(715.9075013380343, 311.12824095799033),2,1,316
,(717.9062829920725, 311.19803995139534),2,1,318
,(719.9050646461106, 311.26783894480036),2,1,320
,(711.909938029958, 310.9886429711803),2,1,312
,(402.0951281005197, 300.23951294748827),4,1,2
,(407.0829483518188, 300.5882953162089),4,0,7
,(412.0707686031179, 300.93707768492953),4,0,12
,(417.05858885441705, 301.28586005365014),4,0,17
,(422.0464091057162, 301.6346424223708),4,0,22
,(427.0342293570153, 301.9834247910914),4,0,27
,(432.0220496083144, 302.332207159812),4,0,32
,(437.0098698596135, 302.6809895285327),4,0,37
,(441.99769011091263, 303.0297718972533),4,0,42
,(446.98551036221176, 303.3785542659739),4,0,47
,(451.9733306135109, 303.72733663469455),4,0,52
,(456.96115086481, 304.07611900341516),4,0,57
,(461.94897111610913, 304.42490137213576),4,0,62
,(466.93679136740826, 304.7736837408564),4,0,67
,(471.92461161870733, 305.12246610957703),4,0,72
,(476.91243187000646, 305.4712484782977),4,0,77
,(481.9002521213056, 305.8200308470183),4,0,82
