(Ax,Ay)
(506.1, 300.1)
(510.03299097210055, 303.93894463727514)
(495.86614882494314, 306.79662147943606)
(491.5960143738812, 309.71661862062416)
(487.2435900492582, 312.3472328844858)
(480.8542357470011, 314.3391505686883)
(474.43921765576926, 315.9012885021497)
(468.99099656559576, 317.27645458757644)
(462.58201023599077, 318.01642812810496)
(456.21233446141406, 318.3320026681219)
(449.90370890165315, 318.22706759626044)
(443.67764116463906, 317.70650989054786)
(437.55536376334663, 316.77620236610784)
(431.5577916204709, 315.44299013761776)
(427.47137537862676, 314.65361844636266)
(421.75063509461097, 312.6)
(417.90901001928495, 311.2283045488973)
(414.1936387334357, 309.6062793590027)
(410.6172209268743, 307.74120827980215)
(408.76811828967396, 306.8722762285823)
(406.9943999880708, 305.8850884871789)
(405.3020137783418, 304.783914244512)
(405.13537860237057, 304.962608593213)
(403.57329185229503, 303.6966990016933)
(403.44565303179434, 303.815724127387)
(403.3139380484327, 303.93022221559494)
(403.1783073766283, 304.04005376803366)
(401.86335575687747, 302.52705098312487)
(401.7775787104123, 302.58711271766515)
(401.68975779269965, 302.6441442884693)
(404.1, 307.02820323027555)
(458.3144737854505, 409.585501514507)
(403.16859802752356, 306.3915583240942)
(402.13368321537905, 304.66772728821303)
(401.9730329670796, 304.73591927283394)
(440.8003970557546, 411.9234218735231)
,(511.1, 300.1),0
