(Ax,Ay),(Bx,By)
(779,503,2, 0)
(761,95,2, 0)
(146,346,1, 0)
(560,146,0, 0)
(416,260,0, 0)
(95,422,1, 0)
(772,527,2, 0)
(273,223,1, 0)
(569,42,0, 0)
(585,526,0, 0)
(99,483,1, 0)
(261,549,1, 0)
(55,52,1, 0)
(173,324,1, 0)
(253,74,1, 0)
(242,56,1, 0)
(221,150,1, 0)
(667,208,0, 0)
(414,153,0, 0)
(38,158,1, 0)
(578,311,0, 0)
(139,46,1, 0)
(268,395,1, 0)
(592,173,0, 0)
(527,483,0, 0)
(365,99,0, 0)
(646,452,0, 0)
(331,22,0, 0)
(120,465,1, 0)
(669,414,0, 0)
(191,516,1, 0)
(133,261,1, 0)
(383,556,0, 0)
(417,354,0, 0)
(40,235,1, 0)
(278,392,1, 0)
(327,396,1, 0)
(384,269,1, 0)
(704,64,2, 0)
(459,335,0, 0)
(259,454,1, 0)
(79,487,1, 0)
(226,355,1, 0)
(733,177,2, 0)
(785,249,0, 0)
(71,204,1, 0)
(290,583,0, 0)
(562,546,0, 0)
(645,489,0, 0)
(653,96,0, 0)
(233,446,1, 0)
(239,432,1, 0)
(595,79,0, 0)
(46,478,1, 0)
(402,534,0, 0)
(468,422,0, 0)
(349,422,1, 0)
(52,514,1, 0)
(483,352,0, 0)
(494,394,0, 0)
(456,318,0, 0)
(309,378,1, 0)
(746,268,0, 0)
(93,281,1, 0)
(434,138,0, 0)
(283,368,1, 0)
(405,436,0, 0)
(433,390,0, 0)
(214,429,1, 0)
(98,223,1, 0)
(85,358,1, 0)
(138,470,1, 0)
(95,582,1, 0)
(517,36,0, 0)
(57,447,1, 0)
(77,340,1, 0)
(295,227,1, 0)
(511,100,0, 0)
(756,286,0, 0)
(619,366,0, 0)
(121,249,1, 0)
(328,27,0, 0)
(74,415,1, 0)
(28,109,1, 0)
(324,306,0, 0)
(252,142,1, 0)
(443,457,0, 0)
(211,380,1, 0)
(372,148,0, 0)
(623,275,0, 0)
(92,202,1, 0)
(217,461,1, 0)
(326,390,1, 0)
(26,579,1, 0)
(525,295,0, 0)
(133,373,1, 0)
(318,400,1, 0)
(262,482,1, 0)
(162,423,0, 0)
(470,77,0, 0)
(526,578,0, 0)
(743,293,0, 0)
(525,220,0, 0)
(695,120,2, 0)
(710,266,0, 0)
(30,506,1, 0)
(517,21,0, 0)
(689,380,0, 0)
(467,384,0, 0)
(439,414,0, 0)
(396,333,1, 0)
(318,349,1, 0)
(168,38,1, 0)
(665,124,0, 0)
(678,103,0, 0)
(618,410,0, 0)
(315,79,0, 0)
(82,128,1, 0)
(621,508,0, 0)
(90,508,1, 0)
(140,424,1, 0)
(188,148,1, 0)
(324,191,1, 0)
(757,499,2, 0)
(657,532,0, 0)
(426,113,0, 0)
(772,284,0, 0)
(358,159,1, 0)
(247,283,1, 0)
(80,490,1, 0)
(606,405,0, 0)
(312,153,1, 0)
(596,15,0, 0)
(112,206,1, 0)
(200,336,1, 0)
(475,299,0, 0)
(121,415,1, 0)
(338,112,0, 0)
(225,487,1, 0)
(429,306,0, 0)
(268,223,1, 0)
(549,235,0, 0)
(430,167,0, 0)
(113,151,1, 0)
(489,30,0, 0)
(492,344,0, 0)
(123,510,1, 0)
(486,405,0, 0)
(368,97,0, 0)
(454,566,0, 0)
(58,301,1, 0)
(36,526,1, 0)
(610,74,0, 0)
(686,398,2, 0)
(150,503,1, 0)
(112,94,1, 0)
(226,580,0, 0)
(625,581,0, 0)
(774,280,0, 0)
(217,223,1, 0)
(123,515,1, 0)
(319,109,1, 0)
(265,546,1, 0)
(212,15,0, 0)
(588,399,0, 0)
(240,281,0, 0)
(684,359,0, 0)
(268,330,1, 0)
(199,264,1, 0)
(88,581,1, 0)
(469,306,0, 0)
(258,325,1, 0)
(632,487,0, 0)
(453,35,0, 0)
(400,549,0, 0)
(328,474,1, 0)
(607,216,0, 0)
(701,54,2, 0)
(503,549,0, 0)
(87,321,1, 0)
(650,66,0, 0)
(330,246,1, 0)
(507,552,0, 0)
(225,377,0, 0)
(284,331,0, 0)
(180,383,1, 0)
(80,497,1, 0)
(289,501,1, 0)
(217,447,1, 0)
(408,498,0, 0)
(190,529,1, 0)
(766,78,2, 0)
(145,360,1, 0)
(168,308,1, 0)
(516,27,0, 0)
(591,424,0, 0)
(689,580,0, 0)
(589,130,0, 0)
(390,194,0, 0)
(558,424,0, 0)
(514,330,0, 0)
(179,439,1, 0)
(61,213,1, 0)
(208,212,0, 0)
(331,366,1, 0)
(708,220,0, 0)
(299,355,1, 0)
(76,550,1, 0)
(158,25,1, 0)
(427,315,0, 0)
(513,348,0, 0)
(531,449,0, 0)
(92,106,1, 0)
(29,570,1, 0)
(723,97,2, 0)
(449,438,0, 0)
(168,49,1, 0)
(153,461,1, 0)
(196,121,1, 0)
(454,169,0, 0)
(247,228,1, 0)
(632,85,0, 0)
(705,353,0, 0)
(643,198,0, 0)
(57,289,1, 0)
(88,542,1, 0)
(118,563,1, 0)
(677,201,2, 0)
(521,484,0, 0)
(542,179,0, 0)
(356,300,1, 0)
(502,580,0, 0)
(494,179,0, 0)
(35,424,1, 0)
(611,286,0, 0)
(60,535,1, 0)
(342,397,1, 0)
(250,295,1, 0)
(712,484,2, 0)
(175,269,1, 0)
(255,85,1, 0)
(508,464,0, 0)
(323,179,1, 0)
(556,209,0, 0)
(50,438,1, 0)
(520,402,0, 0)
(35,504,1, 0)
(252,376,0, 0)
(368,19,0, 0)
(85,374,1, 0)
(548,45,0, 0)
(484,301,0, 0)
(303,253,1, 0)
(383,64,0, 0)
(23,574,1, 0)
(227,191,1, 0)
(442,427,0, 0)
(783,364,0, 0)
(497,457,0, 0)
(173,456,1, 0)
(615,81,0, 0)
(331,551,0, 0)
(529,490,0, 0)
(180,346,1, 0)
(195,514,1, 0)
(617,264,0, 0)
(460,94,0, 0)
(42,525,1, 0)
(508,88,0, 0)
(197,46,1, 0)
(320,301,1, 0)
(760,138,2, 0)
(546,509,0, 0)
(572,368,0, 0)
(472,469,0, 0)
(111,144,1, 0)
(70,363,1, 0)
(645,142,0, 0)
(138,450,1, 0)
(487,431,0, 0)
(443,560,0, 0)
(504,530,0, 0)
(79,21,1, 0)
(615,499,0, 0)
(116,132,1, 0)
(214,416,1, 0)
(712,469,2, 0)
(384,165,0, 0)
(359,259,1, 0)
(186,272,1, 0)
(418,286,0, 0)
(431,474,0, 0)
(456,272,0, 0)
(369,26,0, 0)
(707,442,2, 0)
(215,285,1, 0)
(158,105,1, 0)
(222,414,1, 0)
(229,155,1, 0)
(232,556,1, 0)
(143,27,1, 0)
(49,147,1, 0)
(706,273,0, 0)
(560,26,0, 0)
(501,61,0, 0)
(325,80,0, 0)
(364,473,0, 0)
(756,110,2, 0)
(256,583,0, 0)
(443,573,0, 0)
(407,518,0, 0)
(186,132,1, 0)
(135,445,1, 0)
(630,362,0, 0)
(100,528,1, 0)
(464,125,0, 0)
(426,318,0, 0)
(427,105,0, 0)
(308,248,0, 0)
(295,121,1, 0)
(741,362,0, 0)
(264,470,1, 0)
(738,113,2, 0)
(358,74,0, 0)
(752,212,0, 0)
(329,230,1, 0)
(416,269,0, 0)
(266,261,1, 0)
(564,164,0, 0)
(299,281,1, 0)
(33,172,1, 0)
(288,289,1, 0)
(278,458,1, 0)
(226,153,1, 0)
(625,369,0, 0)
(763,264,0, 0)
(354,79,0, 0)
(206,249,1, 0)
(368,123,0, 0)
(189,384,1, 0)
(476,170,0, 0)
(57,346,1, 0)
(480,572,0, 0)
(293,66,0, 0)
(534,403,0, 0)
(238,331,1, 0)
(288,119,0, 0)
(566,284,0, 0)
(73,449,1, 0)
(86,387,1, 0)
(217,66,1, 0)
(49,151,1, 0)
(288,582,0, 0)
(426,553,0, 0)
(476,404,0, 0)
(285,203,0, 0)
(423,386,0, 0)
(340,282,1, 0)
(665,526,0, 0)
(584,98,0, 0)
(338,551,0, 0)
(760,449,2, 0)
(445,49,0, 0)
(500,36,0, 0)
(39,53,1, 0)
(398,395,0, 0)
(204,225,1, 0)
(560,332,0, 0)
(372,17,0, 0)
(695,289,0, 0)
(366,405,1, 0)
(467,464,0, 0)
(514,449,0, 0)
(509,326,0, 0)
(235,16,0, 0)
(700,286,0, 0)
(639,396,0, 0)
(756,505,2, 0)
(185,448,1, 0)
(76,400,1, 0)
(433,577,0, 0)
(279,450,1, 0)
(394,71,0, 0)
(116,568,1, 0)
(760,129,2, 0)
(76,558,1, 0)
(237,499,1, 0)
(580,433,0, 0)
(338,429,1, 0)
(478,136,0, 0)
(105,485,1, 0)
(531,122,0, 0)
(129,358,1, 0)
(222,398,1, 0)
(103,252,1, 0)
(477,369,0, 0)
(682,494,0, 0)
(506,162,0, 0)
(311,169,0, 0)
(394,189,0, 0)
(93,415,1, 0)
(86,313,1, 0)
(262,403,1, 0)
(465,64,0, 0)
(228,187,1, 0)
(310,30,0, 0)
(508,294,0, 0)
(412,45,0, 0)
(627,410,0, 0)
(81,21,1, 0)
(359,494,0, 0)
(716,276,0, 0)
(214,233,1, 0)
(446,369,0, 0)
(378,278,1, 0)
(291,313,1, 0)
(158,141,1, 0)
(109,571,1, 0)
(135,440,1, 0)
(599,91,0, 0)
(26,499,1, 0)
(604,203,0, 0)
(549,397,0, 0)
(295,129,1, 0)
(448,332,0, 0)
(258,504,1, 0)
(769,544,2, 0)
(442,253,0, 0)
(730,469,2, 0)
(528,347,0, 0)
(653,100,0, 0)
(664,60,0, 0)
(197,286,1, 0)
(580,459,0, 0)
(777,576,2, 0)
(24,507,1, 0)
(313,353,1, 0)
(430,322,0, 0)
(609,251,0, 0)
(588,501,0, 0)
(394,345,1, 0)
(685,274,0, 0)
(469,183,0, 0)
(144,87,1, 0)
(207,314,1, 0)
(730,570,2, 0)
(271,287,1, 0)
(765,514,2, 0)
(734,157,2, 0)
(707,33,2, 0)
(347,110,0, 0)
(252,32,0, 0)
(486,319,0, 0)
(143,362,1, 0)
(629,359,0, 0)
(782,408,0, 0)
(255,566,0, 0)
(713,147,2, 0)
(510,520,0, 0)
(403,418,0, 0)
(378,76,0, 0)
(444,121,0, 0)
(178,106,1, 0)
(304,101,1, 0)
(106,397,1, 0)
(17,48,1, 0)
(690,165,2, 0)
(15,232,1, 0)
(190,124,1, 0)
(82,200,1, 0)
(768,480,2, 0)
(180,190,1, 0)
(201,254,1, 0)
(501,451,0, 0)
(475,419,0, 0)
(622,342,0, 0)
(113,237,1, 0)
(589,403,0, 0)
(497,403,0, 0)
(45,91,1, 0)
(443,101,0, 0)
(400,51,0, 0)
(625,510,0, 0)
(465,400,0, 0)
(26,497,1, 0)
(69,389,1, 0)
(689,274,0, 0)
(294,538,0, 0)
(207,421,1, 0)
(636,533,0, 0)
(513,343,0, 0)
(492,418,0, 0)
(186,231,1, 0)
(112,155,1, 0)
(340,78,0, 0)
(749,28,2, 0)
(229,82,1, 0)
(624,466,0, 0)
(766,199,0, 0)
(81,469,1, 0)
(211,60,1, 0)
(674,248,0, 0)
(323,173,1, 0)
(18,38,1, 0)
(574,173,0, 0)
(115,160,1, 0)
(68,203,1, 0)
(147,560,1, 0)
(407,577,0, 0)
(456,111,0, 0)
(471,254,0, 0)
(569,67,0, 0)
(262,567,0, 0)
(443,399,0, 0)
(765,76,2, 0)
(490,542,0, 0)
(552,249,0, 0)
(447,480,0, 0)
(324,523,0, 0)
(521,51,0, 0)
(541,130,0, 0)
(110,163,1, 0)
(400,471,0, 0)
(59,64,1, 0)
(277,104,1, 0)
(569,30,0, 0)
(204,429,1, 0)
(592,199,0, 0)
(452,402,0, 0)
(47,188,1, 0)
(299,19,0, 0)
(361,187,1, 0)
(679,214,2, 0)
(400,374,0, 0)
(636,551,0, 0)
(599,556,0, 0)
(78,250,1, 0)
(307,417,1, 0)
(169,391,1, 0)
(330,139,1, 0)
(547,337,0, 0)
(103,213,1, 0)
(200,84,1, 0)
(78,449,1, 0)
(682,75,0, 0)
(672,294,0, 0)
(391,64,0, 0)
(88,397,1, 0)
(138,77,1, 0)
(353,399,1, 0)
(729,118,2, 0)
(149,250,1, 0)
(734,538,2, 0)
(316,302,1, 0)
(481,547,0, 0)
(101,410,1, 0)
(688,91,0, 0)
(157,583,1, 0)
(343,316,0, 0)
(733,195,2, 0)
(702,261,0, 0)
(704,356,0, 0)
(361,27,0, 0)
(55,303,1, 0)
(311,492,1, 0)
(599,535,0, 0)
(777,143,2, 0)
(610,548,0, 0)
(422,370,0, 0)
(194,555,1, 0)
(198,465,1, 0)
(620,71,0, 0)
(714,348,0, 0)
(633,275,0, 0)
(62,175,1, 0)
(75,279,1, 0)
(473,189,0, 0)
(347,427,1, 0)
(492,34,0, 0)
(143,178,1, 0)
(196,495,1, 0)
(649,116,0, 0)
(301,194,1, 0)
(64,40,1, 0)
(563,494,0, 0)
(739,438,2, 0)
(224,314,1, 0)
(689,443,2, 0)
(325,411,1, 0)
(596,583,0, 0)
(21,108,1, 0)
(345,284,1, 0)
(543,576,0, 0)
(461,280,0, 0)
(615,259,0, 0)
(361,240,1, 0)
(715,304,0, 0)
(733,571,2, 0)
(198,205,1, 0)
(70,526,1, 0)
(783,258,0, 0)
(725,444,2, 0)
(599,237,0, 0)
(415,571,0, 0)
(132,71,1, 0)
(35,414,1, 0)
(755,431,2, 0)
(331,301,0, 0)
(421,357,0, 0)
(545,425,0, 0)
(765,100,2, 0)
(507,92,0, 0)
(590,188,0, 0)
(460,202,0, 0)
(461,361,0, 0)
(606,252,0, 0)
(340,520,0, 0)
(203,133,1, 0)
(315,139,1, 0)
(100,580,1, 0)
(700,397,2, 0)
(361,558,0, 0)
(164,495,1, 0)
(297,531,0, 0)
(243,134,1, 0)
(425,247,0, 0)
(414,114,0, 0)
(409,496,0, 0)
(75,443,1, 0)
(251,441,1, 0)
(369,413,1, 0)
(436,68,0, 0)
(365,392,1, 0)
(702,550,2, 0)
(62,493,1, 0)
(104,326,1, 0)
(457,575,0, 0)
(202,297,1, 0)
(765,404,0, 0)
(708,281,0, 0)
(488,401,0, 0)
(236,477,1, 0)
(784,231,0, 0)
(667,208,0, 0)
(65,24,1, 0)
(338,292,1, 0)
(260,359,1, 0)
(260,190,0, 0)
(654,424,0, 0)
(221,311,1, 0)
(210,303,1, 0)
(54,523,1, 0)
(560,45,0, 0)
(199,307,0, 0)
(392,155,0, 0)
(532,434,0, 0)
(491,328,0, 0)
(242,165,1, 0)
(749,477,2, 0)
(480,307,0, 0)
(498,303,0, 0)
(188,241,1, 0)
(447,207,0, 0)
(547,57,0, 0)
(408,302,0, 0)
(287,204,1, 0)
(29,435,1, 0)
(344,164,1, 0)
(204,66,1, 0)
(572,341,0, 0)
(157,86,1, 0)
(626,63,0, 0)
(15,333,1, 0)
(175,203,1, 0)
(199,582,0, 0)
(773,399,0, 0)
(622,172,0, 0)
(694,271,0, 0)
(59,245,1, 0)
(573,230,0, 0)
(712,506,2, 0)
(169,451,1, 0)
(498,510,0, 0)
(548,282,0, 0)
(784,367,0, 0)
(449,196,0, 0)
(445,107,0, 0)
(59,251,1, 0)
(125,461,1, 0)
(574,374,0, 0)
(80,184,1, 0)
(572,110,0, 0)
(470,509,0, 0)
(495,103,0, 0)
(344,102,0, 0)
(250,235,1, 0)
(224,364,1, 0)
(32,322,1, 0)
(139,72,1, 0)
(638,549,0, 0)
(402,245,0, 0)
(656,95,0, 0)
(319,218,1, 0)
(459,504,0, 0)
(56,423,1, 0)
(85,25,1, 0)
(57,255,1, 0)
(569,310,0, 0)
(253,255,1, 0)
(518,383,0, 0)
(762,539,2, 0)
(704,373,0, 0)
(330,486,1, 0)
(549,490,0, 0)
(216,524,1, 0)
(168,362,1, 0)
(753,439,2, 0)
(725,273,0, 0)
(654,406,0, 0)
(155,66,1, 0)
(423,225,0, 0)
(75,576,1, 0)
(646,186,0, 0)
(759,462,2, 0)
(508,548,0, 0)
(671,380,0, 0)
(438,449,0, 0)
(608,160,0, 0)
(49,227,1, 0)
(134,182,1, 0)
(288,80,1, 0)
(291,281,1, 0)
(651,304,0, 0)
(64,99,1, 0)
(642,417,0, 0)
(241,17,0, 0)
(50,324,0, 0)
(436,143,0, 0)
(198,456,1, 0)
(456,301,0, 0)
(98,496,1, 0)
(623,279,0, 0)
(623,281,0, 0)
(642,70,0, 0)
(783,440,2, 0)
(39,506,1, 0)
(611,160,0, 0)
(681,428,2, 0)
(268,505,1, 0)
(598,328,0, 0)
(393,479,0, 0)
(47,259,1, 0)
(219,452,1, 0)
(51,247,1, 0)
(379,83,0, 0)
(195,308,1, 0)
(655,339,0, 0)
(97,116,1, 0)
(116,144,1, 0)
(606,372,0, 0)
(402,85,0, 0)
(382,447,0, 0)
(352,407,1, 0)
(46,178,1, 0)
(406,89,0, 0)
(414,320,0, 0)
(530,483,0, 0)
(61,453,1, 0)
(448,34,0, 0)
(711,74,2, 0)
