(Ax,Ay),(Bx,By)
(496,290,0, 0)
(308,517,0, 0)
(490,225,0, 0)
(535,294,0, 0)
(747,158,0, 0)
(351,384,0, 0)
(296,320,0, 0)
(30,18,0, 0)
(63,271,0, 0)
(542,372,1, 0)
(116,561,0, 0)
(716,360,0, 0)
(748,218,0, 0)
(41,517,0, 0)
(351,234,0, 0)
(505,135,1, 0)
(387,516,0, 0)
(58,25,0, 0)
(61,152,0, 0)
(596,198,0, 0)
(751,125,0, 0)
(686,566,0, 0)
(101,422,0, 0)
(767,450,0, 0)
(445,81,0, 0)
(704,442,0, 0)
(92,465,0, 0)
(200,55,0, 0)
(507,515,0, 0)
(432,502,0, 0)
(226,285,0, 0)
(243,493,0, 0)
(535,185,1, 0)
(580,549,0, 0)
(473,564,0, 0)
(389,243,0, 0)
(195,376,0, 0)
(717,135,0, 0)
(310,197,0, 0)
(516,270,0, 0)
(601,282,0, 0)
(161,208,0, 0)
(309,476,0, 0)
(113,221,0, 0)
(713,579,0, 0)
(70,248,0, 0)
(336,43,0, 0)
(205,567,0, 0)
(533,544,0, 0)
(770,110,0, 0)
(353,446,0, 0)
(364,397,0, 0)
(292,496,0, 0)
(729,166,0, 0)
(455,354,0, 0)
(772,344,0, 0)
(110,520,0, 0)
(736,428,0, 0)
(756,119,0, 0)
(68,445,0, 0)
(363,343,0, 0)
(357,126,0, 0)
(764,482,0, 0)
(233,305,0, 0)
(714,581,0, 0)
(512,334,0, 0)
(739,73,0, 0)
(604,442,0, 0)
(684,72,0, 0)
(598,487,0, 0)
(308,73,0, 0)
(659,386,0, 0)
(683,513,0, 0)
(324,228,0, 0)
(41,192,0, 0)
(332,536,0, 0)
(197,470,0, 0)
(193,529,0, 0)
(501,476,0, 0)
(37,368,0, 0)
(34,148,0, 0)
(123,574,0, 0)
(328,234,0, 0)
(322,338,0, 0)
(737,381,0, 0)
(747,134,0, 0)
(100,475,0, 0)
(693,349,0, 0)
(176,250,0, 0)
(461,540,0, 0)
(643,504,0, 0)
(281,145,0, 0)
(624,272,0, 0)
(609,466,0, 0)
(679,149,0, 0)
(651,151,0, 0)
(489,419,0, 0)
(263,381,0, 0)
(223,255,0, 0)
(132,440,0, 0)
(652,209,0, 0)
(623,382,0, 0)
(524,204,1, 0)
(479,243,0, 0)
(325,141,0, 0)
(628,244,0, 0)
(676,101,0, 0)
(719,30,0, 0)
(482,462,0, 0)
(763,79,0, 0)
(93,330,0, 0)
(345,386,0, 0)
(75,156,0, 0)
(649,422,0, 0)
(692,489,0, 0)
(118,367,0, 0)
(542,29,0, 0)
(259,226,0, 0)
(232,94,0, 0)
(145,70,0, 0)
(57,497,0, 0)
(280,574,0, 0)
(459,170,1, 0)
(670,415,0, 0)
(630,15,0, 0)
(516,408,0, 0)
(154,404,0, 0)
(160,530,0, 0)
(473,170,1, 0)
(220,405,0, 0)
(352,290,0, 0)
(635,227,0, 0)
(626,152,0, 0)
(669,551,0, 0)
(486,23,0, 0)
(453,269,0, 0)
(674,52,0, 0)
(60,472,0, 0)
(458,240,0, 0)
(67,271,0, 0)
(382,428,0, 0)
(148,339,0, 0)
(674,341,0, 0)
(471,545,0, 0)
(494,226,0, 0)
(396,81,0, 0)
(448,264,0, 0)
(784,415,0, 0)
(564,511,0, 0)
(233,290,0, 0)
(682,385,0, 0)
(190,282,0, 0)
(88,550,0, 0)
(466,435,0, 0)
(176,355,0, 0)
(685,55,0, 0)
(81,81,0, 0)
(139,192,0, 0)
(687,29,0, 0)
(506,444,0, 0)
(598,382,0, 0)
(605,565,0, 0)
(639,430,0, 0)
(98,49,0, 0)
(728,86,0, 0)
(706,560,0, 0)
(633,282,0, 0)
(744,56,0, 0)
(740,422,0, 0)
(57,44,0, 0)
(623,236,0, 0)
(513,336,0, 0)
(593,180,0, 0)
(137,324,0, 0)
(540,193,1, 0)
(598,204,0, 0)
(147,244,0, 0)
(416,248,0, 0)
(16,448,0, 0)
(626,207,0, 0)
(713,457,0, 0)
(667,475,0, 0)
(322,403,0, 0)
(704,369,0, 0)
(612,490,0, 0)
(313,345,0, 0)
(378,195,0, 0)
(99,163,0, 0)
(236,307,0, 0)
(171,269,0, 0)
(51,495,0, 0)
(33,432,0, 0)
(588,209,0, 0)
(84,468,0, 0)
(777,509,0, 0)
(154,94,0, 0)
(272,247,0, 0)
(178,279,0, 0)
(487,284,0, 0)
(681,168,0, 0)
(697,369,0, 0)
(73,248,0, 0)
(429,365,0, 0)
(565,154,0, 0)
(265,262,0, 0)
(597,326,0, 0)
(209,547,0, 0)
(621,256,0, 0)
(56,392,0, 0)
(506,191,1, 0)
