(Ax,Ay),(Bx,By)
(780.0, 300.0),(570.7475040301649, 243.44399376740392)
(774.8715601321609, 313.1873112634379),(569.5552021813895, 243.93256295310874)
(769.1986985961349, 325.90989528532634),(568.5323127886493, 244.41397057695428)
(765.5867965478404, 338.5142102508627),(568.8140736973443, 245.53417513527722)
(759.0721749188193, 350.55024909802376),(568.0268420220369, 246.09741698024442)
(752.1687717018644, 362.17922351592756),(567.3529459304749, 246.69583672524868)
(744.8970292586664, 373.3888710132602),(566.7742093771083, 247.33807448216896)
(737.2777648809088, 384.1678587208845),(566.2731647474212, 248.02974885060144)
(726.8289766190285, 393.71670097777974),(564.9111246545116, 247.99120130868823)
(718.7039329588763, 403.6206931156074),(564.5604448090628, 248.7678635250677)
(710.1985648593497, 412.9666472974707),(564.2402003337974, 249.59944172014866)
(701.4347527342059, 421.8471428601714),(563.9374780387589, 250.4832222207616)
(690.1506828015258, 429.2388841765666),(562.8945525829141, 250.55722789800802)
(678.7261543527418, 435.995055504614),(561.9340201651855, 250.64630056058445)
(669.3990158219729, 443.2888266496967),(561.6942366136244, 251.63859568801945)
(659.8076211353316, 450.0),(560.8454680166731, 252.2141199115547)
(646.0339478853635, 453.7765866276294),(559.9872927973361, 251.9091266427763)
(636.3757081781869, 459.4699774891629),(559.7276109535752, 252.9684719541183)
(622.5796734531107, 461.74094438043016),(558.4442857903232, 252.20692445729105)
(612.8629034738149, 466.3285983379278),(558.1636273320969, 253.2766528026816)
(599.1715552109342, 467.1247785185002),(557.0105422011153, 252.49810730024592)
(589.6019304967356, 470.72830462150887),(556.6944110937454, 253.55266260303915)
(576.3382510829696, 470.2913007624544),(555.6510322554091, 252.74150433595878)
(566.8180089101593, 472.74155208127627),(555.2936392743641, 253.7549492879184)
(554.0000394625374, 471.02330985980075),(554.3482645160766, 252.89359923866868)
(544.7272121794713, 472.45999970177),(553.9512639397223, 253.84125797079832)
(535.4455245716448, 473.36236579347883),(553.5113567893466, 254.7483174468034)
(523.5349029814193, 469.993568818739),(552.6708984484985, 253.77171468039705)
(514.7345452115031, 470.0527023737836),(552.2061052135241, 254.5803098812221)
(503.43425652547495, 465.4693787505031),(551.4670414230237, 253.5108880339758)
(495.1, 464.64482671904335),(550.9916689794908, 254.20375099462035)
(486.95223911538983, 463.4453046789015),(550.4939595249897, 254.8335126487218)
(476.8149506880886, 457.38895810235425),(549.8934448898941, 253.59239689467358)
(469.2452293228861, 455.40272779924214),(549.4125476816688, 254.08707430124196)
(461.9100879136255, 453.08533600351996),(548.9249223308603, 254.51083520625798)
(454.823222932107, 450.4508193257454),(548.4359898259751, 254.8619427933736)
(446.4525491562421, 442.75847744427307),(548.0545339213006, 253.35435282567778)
(440.06741659346494, 439.4829459110563),(547.6224986977586, 253.55673860702245)
(433.86906538395345, 435.8414016786395),(547.2048304296677, 253.68368257140264)
(428.1680782603976, 432.14992609906375),(546.8065921933123, 253.734928306626)
(422.674263096701, 428.1250078915871),(546.4326570497408, 253.71051065748225)
(417.49663762000824, 423.88350859269633),(546.0876668338258, 253.61071748465747)
(412.64341559211846, 419.4426274441928),(545.7759922327693, 253.4360468775344)
(408.1219944805744, 414.8198657798798),(545.5016939496511, 253.18715934455668)
(403.93894463727514, 410.03299097210055),(545.2684847997984, 252.86482428249337)
(400.1, 410.1),(544.609264123616, 254.25814768611372)
(396.43555284623744, 405.0360368370051),(544.4319847291413, 253.79426060555306)
(393.0243526255875, 399.7564050259824),(544.3060436817777, 253.2605092715453)
(390.1697959895729, 394.57958005998603),(544.2335966020121, 252.6577654497023)
(386.87855540879383, 394.1754665304492),(543.5969914895737, 253.79690153889555)
(384.4716640099763, 388.73269777109874),(543.6055072276749, 253.06483106857263)
(381.38794782640167, 388.1332840660425),(542.9764289527151, 254.09024115685725)
(379.5366388740283, 382.5751367334597),(543.0756476946909, 253.23601576420992)
(378.0490115346401, 377.00093567506553),(543.236440396471, 252.3190167711873)
(375.37864045000424, 376.1845213036123),(542.6622183691837, 253.1840449854617)
(374.4484892505749, 370.5769465589431),(542.9218908020018, 252.15446037910692)
(372.0045054938066, 369.6387890925091),(542.3796355524734, 252.922049942895)
(369.59475176931505, 368.6159093231951),(541.8333748385403, 253.6407719812371)
(369.41401972476456, 363.01558324094174),(542.2382832892965, 252.46295107716992)
(367.2369906049877, 361.9063315001249),(541.7353740946982, 253.09240116511523)
(366.35, 358.55671475544966),(541.7435867490524, 252.75064600892188)
(365.6552478248417, 355.2231262501677),(541.7902695397244, 252.36568541543443)
(363.7524612744015, 353.98744221607774),(541.3421508698998, 252.8661687427459)
(361.8939586009893, 352.68610463437165),(540.9022891718771, 253.3194025566379)
(363.0603114804605, 347.28064521640334),(541.6064504528925, 251.8965708663211)
(361.43274341880766, 345.9626665871387),(541.2261557220542, 252.27614734779513)
(359.8521636184685, 344.58868952864367),(540.8600627151809, 252.6082171823125)
(358.32049777246016, 343.16038802031903),(540.5109460083188, 252.8911941209294)
(356.8396119796809, 341.67950222753984),(540.181838360432, 253.12308227937024)
(359.2270345987434, 336.90218334973724),(541.1215169622374, 251.55947043331685)
(357.96755562845624, 335.4533185327597),(540.8649814819317, 251.71965340635757)
(356.7594085516304, 333.96138114291125),(540.6364997369659, 251.82244051067755)
(355.6040653093779, 332.4281888760861),(540.4406738590452, 251.86197345267692)
(354.50293350947277, 330.85560969089113),(540.2829300996527, 251.82977288288362)
(353.4573547113966, 329.2455595328263),(540.1697974871311, 251.7128343037291)
(352.4686027918559, 327.6),(540.1094245561254, 251.48944435957856)
(347.0231444284644, 328.16829376715344),(538.7857389014855, 252.46966284861537)
(346.07235722204996, 326.30226880734466),(538.8688906009301, 251.7595136357627)
(345.187272541444, 324.404198584548),(539.061736810311, 250.48452917768532)
(335.1971301803249, 326.3224615391139),(535.8943697596303, 250.17772357150136)
(334.3215165449865, 324.0414100327969),(533.1408073855338, 246.89864876966988)
(342.9366090222908, 318.54101966249686),(528.8910751489013, 243.27549011738063)
(352.03691520308405, 313.88186779085),(527.9652372891396, 241.0970327814373)
(356.4366923175802, 310.9864853019851),(528.0782410858576, 240.07795331992818)
(356.0833579669788, 309.45602608679917),(527.6386270100621, 239.86572419282012)
(355.78365111445066, 307.9141679950119),(527.3154411367507, 239.6361586021714)
(355.53793690662934, 306.36278954320295),(527.0876945993807, 239.39365314978443)
(355.3465147084277, 304.80378084704444),(526.9426342570122, 239.14177098110633)
(355.2096177383079, 303.2390413184857),(526.8718861007058, 238.88350788153542)
(355.1274127841407, 301.6704773516126),(526.8696382900073, 238.62144027304612)
(355.1, 300.1),(526.9316974358962, 238.35781753532038)
(355.1274127841407, 298.52952264838746),(527.0549602089392, 238.09462253447353)
(355.2096177383079, 296.9609586815144),(527.2370996985526, 237.8336114188091)
(355.3465147084277, 295.3962191529556),(527.4763707756811, 237.5763385191143)
(355.53793690662934, 293.8372104567971),(527.7714854254348, 237.32416963078157)
(350.85961234938964, 291.4175911166535),(526.1856947521092, 237.35601945829137)
(351.19261996330977, 289.70441545911206),(526.5582341404853, 237.08016934255156)
