(Ax,Ay)
(706.9129838948624, 310.8141454876678)
(702.3619072287267, 321.23621154447)
(695.4730029243772, 331.1449535904931)
(688.268008003797, 340.5993723793791)
(680.7702096084794, 349.58973063507517)
(673.0031806047318, 358.10736173815485)
(664.990733273347, 366.1446774987093)
(654.8343494236545, 373.1438992915048)
(646.4236377204448, 380.1354015431114)
(635.962847817263, 385.94705597474285)
(625.4056766597294, 391.12940220006664)
(614.7831825460113, 395.6831111228131)
(604.126248509911, 399.6102503211206)
(591.6996276503872, 401.97532912453835)
(581.0993093909477, 404.6)
(568.8615711351288, 405.5539335824078)
(558.446176358013, 406.90584456291265)
(546.5320759818655, 406.48913066493765)
(534.8498388667495, 405.37811228068756)
(523.4331553421555, 403.58880515953285)
(510.8285789961318, 399.8004603474699)
(500.08823224707254, 396.65751349380065)
(488.32161304829265, 391.45615464300874)
(478.38828094398644, 387.04794458085513)
(467.59269901708666, 380.53466652749273)
(458.58784015593756, 374.96102159263864)
(448.8861759402753, 367.24841053312065)
(439.80269614642305, 358.961667651408)
(431.3652365897591, 350.1348376732292)
(424.6, 342.5352447854375)
(418.4093909486498, 334.53495612149817)
(412.8127632568833, 326.16502734267584)
(409.4549427907434, 321.11154552577983)
(406.46831208807055, 315.8621255276354)
(404.5462618632337, 312.3160040702168)
(402.88115294937455, 308.6595086466564)
(402.02946149071903, 306.82883187156824)
(401.7934532691977, 306.892070083932)
(411.11931961334125, 351.9418228388917)
(408.60876070567963, 348.3555798975982)
(406.36278954320295, 344.6620630933707)
(403.7584962143679, 334.9082663378896)
(402.2624506860679, 331.02448555805455)
(400.90268842415753, 323.0859890214392)
(400.1, 303.1)
(399.9953015098925, 303.0981724810573)
(399.89073057876766, 303.0926921507795)
(399.7864146101971, 303.08356568610486)
(399.68248069711984, 303.07080420622475)
(399.57905546699925, 303.05442325903664)
(399.47626492754677, 303.03444280220145)
(399.37423431320104, 303.010887178828)
(399.273087932549, 302.98378508781497)
(399.1729490168752, 302.9531695488855)
(399.073939570023, 302.91907786235777)
(398.9761802197523, 302.8815515637004)
(398.87979007077263, 302.8406363729278)
(398.7848865596328, 302.7963821388975)
(398.69158531164237, 302.74884277857683)
(398.6, 302.69807621135334)
(398.5102422073004, 302.6441442884693)
