(Ax,Ay),(Bx,By),(Cx,Cy),(Dx,Dy)
(106,62,390,82,290,99,91, 519)
(108,416,73,357,22,457,83, 461)
(115,278,772,24,743,520,456, 322)
(115,403,664,355,154,188,383, 548)
(119,114,208,304,305,232,222, 155)
(119,218,107,150,126,522,343, 359)
(119,410,55,570,458,432,281, 461)
(121,357,477,375,227,554,304, 117)
(125,248,178,536,565,402,345, 298)
(127,389,51,461,600,550,398, 347)
(130,528,298,131,143,546,338, 386)
(130,169,659,88,626,333,382, 72)
(132,102,141,394,782,205,71, 229)
(134,444,552,281,309,116,373, 483)
(135,359,543,172,329,48,427, 497)
(136,130,671,199,38,348,384, 78)
(137,164,251,347,508,432,136, 286)
(143,431,281,240,56,276,485, 541)
(145,504,744,110,240,171,602, 556)
(145,311,127,500,203,122,353, 302)
(146,396,653,274,130,465,160, 430)
(152,243,51,20,276,284,181, 96)
(157,549,428,403,556,534,235, 374)
(159,436,505,188,582,552,143, 108)
(162,567,167,316,547,324,426, 559)
(163,468,750,113,135,414,524, 435)
(164,445,55,387,195,90,579, 343)
(17,552,196,369,144,78,195, 554)
(170,494,423,406,528,115,172, 140)
(172,215,285,504,620,414,224, 361)
(174,496,354,210,41,149,532, 535)
(176,200,84,376,107,510,746, 475)
(180,72,100,203,641,330,429, 135)
(182,521,605,408,338,434,297, 546)
(183,26,129,541,203,103,314, 28)
(183,187,350,114,179,408,231, 286)
(187,173,652,91,511,421,205, 484)
(190,291,185,90,456,122,470, 490)
(190,130,161,301,405,443,19, 172)
(192,306,458,152,270,86,446, 458)
(198,348,557,408,234,145,349, 537)
(199,97,179,190,284,203,134, 125)
(201,559,180,521,504,92,709, 581)
(202,20,314,67,119,156,115, 47)
(202,138,221,115,599,327,319, 221)
(206,386,370,400,46,445,283, 243)
(207,582,83,562,54,229,765, 230)
(208,177,212,133,477,532,389, 175)
(210,151,280,426,617,390,58, 314)
(212,307,226,499,312,238,264, 290)
(215,324,591,490,564,116,387, 417)
(217,468,527,104,46,526,128, 452)
(219,525,164,387,749,230,507, 493)
(220,435,315,443,288,328,87, 301)
(221,572,745,276,186,451,166, 529)
(223,425,571,405,289,99,405, 569)
(225,355,77,156,335,187,84, 316)
(234,553,413,86,206,437,710, 514)
(236,91,477,309,633,88,197, 350)
(241,65,255,158,82,222,452, 64)
(245,230,108,245,364,81,594, 496)
(249,401,392,408,360,211,110, 216)
(250,431,67,483,23,165,497, 42)
(250,298,214,153,677,389,427, 467)
(255,584,651,83,366,475,177, 398)
(255,253,261,426,531,120,388, 213)
(256,508,631,477,127,429,248, 410)
(257,566,362,308,670,80,29, 329)
(258,582,228,542,325,106,675, 469)
(259,164,784,216,272,208,47, 250)
(260,231,197,244,459,153,330, 127)
(263,520,426,182,336,56,645, 501)
(264,154,105,267,348,484,469, 252)
(27,245,61,84,199,347,128, 268)
(272,354,177,499,500,431,266, 446)
(273,565,115,282,356,406,99, 492)
(275,316,242,84,16,577,163, 219)
(275,456,75,33,656,65,762, 550)
(277,494,68,339,312,256,89, 545)
(279,145,129,511,138,252,455, 429)
(28,575,166,107,59,220,753, 543)
(281,166,363,526,751,88,508, 100)
(286,513,408,206,344,461,321, 495)
(288,575,276,109,649,537,285, 358)
(289,512,217,168,670,282,553, 579)
(290,228,679,504,63,403,273, 418)
(291,379,126,455,417,364,124, 49)
(292,286,540,87,467,502,397, 369)
(293,535,589,115,706,356,302, 244)
(295,257,119,55,527,240,428, 529)
(296,578,733,174,129,427,606, 531)
(302,246,745,52,512,159,351, 76)
(308,416,30,346,435,403,240, 179)
(308,539,196,290,96,381,119, 580)
(312,76,130,323,454,230,29, 32)
(312,415,600,41,66,461,148, 122)
(319,109,357,319,262,579,562, 161)
(319,104,26,67,208,250,740, 521)
(319,348,424,289,248,148,154, 316)
(323,148,623,368,214,507,215, 289)
(325,421,549,562,378,155,382, 565)
(330,15,644,169,168,383,371, 245)
(333,267,145,194,460,144,245, 250)
(338,139,57,72,587,264,198, 147)
(340,362,531,524,25,500,408, 456)
(341,291,695,369,392,77,516, 291)
(342,379,759,380,45,15,515, 300)
(346,556,146,229,179,575,580, 241)
(348,423,68,230,571,413,55, 580)
(348,333,481,194,272,275,181, 483)
(352,154,136,454,570,18,547, 269)
(354,206,444,304,150,263,328, 316)
(354,25,29,520,460,297,597, 80)
(357,239,187,337,598,120,606, 476)
(360,454,655,203,308,262,596, 473)
(362,412,380,533,343,115,93, 511)
(362,392,549,490,746,249,464, 131)
(366,574,43,524,618,330,458, 441)
(366,182,166,415,394,147,496, 434)
(367,136,739,339,235,240,563, 185)
(369,541,757,258,44,573,540, 391)
(370,129,585,357,519,400,289, 344)
(373,573,219,84,407,168,593, 390)
(377,581,706,502,181,93,193, 374)
(378,192,359,352,758,143,240, 256)
(381,492,99,408,424,442,250, 449)
(383,300,295,31,388,417,155, 348)
(384,36,714,158,85,167,488, 192)
(384,250,688,39,295,248,708, 454)
(385,123,193,491,734,299,428, 373)
(39,257,278,335,261,260,92, 479)
(393,399,195,484,494,337,323, 203)
(395,445,42,459,758,300,256, 206)
(395,500,714,421,53,352,474, 266)
(399,169,460,370,385,125,524, 240)
(400,341,685,78,180,359,553, 225)
(407,62,240,43,471,428,501, 216)
(408,331,741,86,147,438,487, 90)
(410,362,674,138,193,492,385, 104)
(415,472,596,414,59,253,325, 239)
(415,214,602,130,314,261,496, 498)
(416,486,314,536,670,42,366, 209)
(419,575,183,153,600,458,173, 478)
(42,218,95,333,331,287,197, 175)
(420,118,652,184,463,505,108, 329)
(424,353,294,554,644,339,60, 240)
(427,442,149,193,308,533,413, 226)
(427,226,384,426,688,62,572, 349)
(429,69,125,486,691,228,173, 160)
(429,542,277,331,478,431,266, 512)
(431,520,574,226,36,163,228, 351)
(435,471,345,569,498,467,195, 154)
(436,572,445,136,660,566,188, 371)
(436,88,258,30,498,442,330, 129)
(438,552,94,250,511,440,205, 505)
(442,72,595,454,127,424,77, 46)
(442,355,266,456,559,380,477, 461)
(444,441,387,253,117,459,307, 381)
(445,444,124,465,36,211,446, 30)
(445,162,354,178,778,62,567, 20)
(445,390,599,185,200,253,479, 274)
(446,287,180,394,353,579,515, 465)
(448,123,739,242,272,100,625, 84)
(452,439,631,511,482,247,565, 409)
(455,298,38,567,759,217,637, 404)
(455,219,499,335,345,429,108, 171)
(46,193,426,474,141,275,269, 29)
