(Ax,Ay),(Bx,By),(Cx,Cy),(Dx,Dy)
(153,270,537,474,768,454,364, 94)
(470,421,457,573,107,75,363, 291)
(47,237,260,498,720,417,21, 74)
(43,501,610,145,461,294,189, 329)
(502,572,391,163,635,387,574, 547)
(658,362,514,288,153,331,770, 326)
(771,276,51,505,239,453,694, 151)
(467,389,685,246,764,295,275, 280)
(347,498,298,372,691,571,359, 492)
(407,297,784,171,481,554,159, 366)
(256,565,641,430,463,25,81, 344)
(749,390,604,56,595,555,775, 530)
(339,337,89,174,117,57,679, 384)
(308,474,757,397,274,473,341, 471)
(744,310,341,295,200,477,672, 354)
(181,194,61,267,545,239,320, 510)
(736,136,378,413,216,570,572, 166)
(694,343,484,447,674,34,769, 282)
(397,494,479,117,84,584,319, 494)
(80,218,701,305,718,51,250, 279)
(680,414,599,339,374,121,644, 516)
(300,226,407,30,752,420,59, 334)
